pmid,pubmed_url,year,title,journal,abstract,keywords,mesh_terms,publication_types,entities,relations
54584,https://pubmed.ncbi.nlm.nih.gov/54584/,1976,Acute diabetic abdomen in childhood.,"Lancet (London, England)","Three children presented as acute surgical emergencies due to undiagnosed diabetes mellitus. Where diabetic ketoacidosis mimicks the acute abdomen three clinical features are important in reaching the right diagnosis-namely, a history of polydipsia, polyuria, and anorexia preceding the abdominal pain, the deep sighing and rapid respirations, and severe dehydration.",,"Abdomen, Acute; Amylases; Appendicitis; Blood Glucose; Carbon Dioxide; Child; Child, Preschool; Diabetes Mellitus, Type 1; Diabetic Ketoacidosis; Diagnosis, Differential; Diagnostic Errors; Hemoglobins; Humans; Hydrogen-Ion Concentration; Leukocyte Count; Male; Oxygen; Potassium; Sodium; Urea",Case Reports; Journal Article,diabetes mellitus (disease); diabetic ketoacidosis (disease); acute abdomen (disease); polydipsia (clinical_outcome); polyuria (clinical_outcome); anorexia (clinical_outcome); abdominal pain (clinical_outcome); severe dehydration (clinical_outcome),"(diabetic ketoacidosis, Association, acute abdomen); (diabetic ketoacidosis, Positive_Correlation, polydipsia); (diabetic ketoacidosis, Positive_Correlation, polyuria); (diabetic ketoacidosis, Positive_Correlation, anorexia); (diabetic ketoacidosis, Positive_Correlation, abdominal pain); (diabetic ketoacidosis, Positive_Correlation, severe dehydration); (diabetes mellitus, Positive_Correlation, diabetic ketoacidosis); (diabetes mellitus, Association, acute abdomen)"
331372,https://pubmed.ncbi.nlm.nih.gov/331372/,1977,The surgical treatment of necrobiosis lipoidica diabeticorum.,Plastic and reconstructive surgery,"We review the literature on the surgical treatment of necrobiosis lipoidica diabeticorum, and we describe 7 cases treated at Stanford University Medical Center. Experiences with them prompt us to recommend surgical excision of the lesions down to the deep fascia, ligation of the associated perforating blood vessels, and the use of split-skin grafts to cover the defects. There were no recurrences when we did all these things.",,"Adolescent; Adult; Aged; Child; Child, Preschool; Diabetes Complications; Diabetes Mellitus, Type 1; Female; Follow-Up Studies; Humans; Infant; Infant, Newborn; Leg Dermatoses; Male; Middle Aged; Necrobiosis Lipoidica; Recurrence; Skin; Skin Transplantation",Case Reports; Journal Article,necrobiosis lipoidica diabeticorum (disease); lesions (disease); recurrences (clinical_outcome); surgical excision (drug); ligation of the associated perforating blood vessels (drug); split-skin grafts (drug),"(necrobiosis lipoidica diabeticorum, Association, lesions); (surgical excision, Cotreatment, ligation of the associated perforating blood vessels); (surgical excision, Cotreatment, split-skin grafts); (ligation of the associated perforating blood vessels, Cotreatment, split-skin grafts)"
334498,https://pubmed.ncbi.nlm.nih.gov/334498/,1977,[Islet-cell antibodies in juvenile diabetes mellitus (author's transl)].,Deutsche medizinische Wochenschrift (1946),"Islet-cell antibodies were detected in 11 of the 67 patients with juvenile diabetes mellitus. These antibodies reacted with all endocrine-islet cells, although higher serum dilutions and different staining intensity of the various islet cells were noted. Antibody formation to islet antigens was found to be closely associated with HLA B8 (P = 0.03). However, there was no relationship between islet-cell antibody production and insulin antibody formation. The demonstration of pancreatic islet-cell antibodies, particularly in HLA B8-positive juvenile diabetics, constitutes further circumstantial evidence of a genetically determined auto-immune pathogenesis in some patients with juvenile diabetes mellitus.",,"Adolescent; Adult; Autoantibodies; Child; Child, Preschool; Diabetes Mellitus, Type 1; Histocompatibility Antigens; Humans; Immunoglobulin G; Insulin Antibodies; Islets of Langerhans",English Abstract; Journal Article,Islet-cell antibodies (biomarker); juvenile diabetes mellitus (disease); endocrine-islet cells (cell_type); islet antigens (biomarker); islet cells (cell_type); HLA B8 (gene); antibody formation (biological_process); insulin antibody (biomarker); auto-immune pathogenesis (biological_process),"(Islet-cell antibodies, Association, juvenile diabetes mellitus); (Islet-cell antibodies, Bind, endocrine-islet cells); (juvenile diabetes mellitus, Association, auto-immune pathogenesis); (antibody formation, Association, HLA B8); (Islet-cell antibodies, Association, HLA B8); (Islet-cell antibodies, Association, endocrine-islet cells)"
353557,https://pubmed.ncbi.nlm.nih.gov/353557/,1978,Islet-cell-surface antibodies in juvenile diabetes mellitus.,The New England journal of medicine,"Using an indirect immunofluorescence test on suspensions of viable, insulin-producing islet cells from rats, we found that 32 per cent (28/88) of insulin-treated patients with juvenile diabetes have islet-cell-surface antibodies in their circulation. These antibodies also occurred in four of nine children with glucose intolerance, in one of 24 healthy children and in nondiabetic children with thyroid disorders. In the diabetic children, the immunofluorescent reaction was inhibited by preadsorption of serum to islet cells but was little affected by preadsorption to rat hepatocytes or erythrocytes or to acetone powders of various rat tissues, including pancreas. These results show that organ-specific, nonspecies-specific antibodies reactive with the cell surface of the islet cells can be present in serum from diabetic children, and provide an approach to investigation of immunopathological aspects of diabetes mellitus.",,"Adolescent; Animals; Autoantibodies; Cell Membrane; Child; Child, Preschool; Diabetes Mellitus, Type 1; Fluorescent Antibody Technique; Humans; Infant; Insulin; Islets of Langerhans; Male; Microscopy, Electron, Scanning; Rats","Journal Article; Research Support, U.S. Gov't, P.H.S.",islet-cell-surface antibodies (biomarker); juvenile diabetes (disease); islet cells (cell_type); glucose intolerance (clinical_outcome); glucose intolerance (disease); thyroid disorders (disease); diabetes mellitus (disease); insulin (drug); rat hepatocytes (cell_type); erythrocytes (cell_type); immunofluorescent reaction (biomarker),"(islet-cell-surface antibodies, Association, juvenile diabetes); (islet-cell-surface antibodies, Bind, islet cells); (islet-cell-surface antibodies, Association, glucose intolerance); (islet-cell-surface antibodies, Association, thyroid disorders); (islet-cell-surface antibodies, Association, diabetes mellitus); (islet cells, Negative_Correlation, immunofluorescent reaction)"
395097,https://pubmed.ncbi.nlm.nih.gov/395097/,1979,"The effect of three days of blood glucose normalization by means of an ""artificial endocrine pancreas"" on the concentrations of growth hormone, glucagon, and cortisol in juvenile diabetics.",Hormone and metabolic research. Supplement series,"Glucagon, growth hormone, and cortisol secretion was studied in seven male insulin-dependent diabetics under conventional subcutaneous insulin therapy and after three days of blood glucose normalization attained by the artificial endocrine pancreas (Biostator-GCIIS). The diurnal hormonal profiles under the two types of therapy were compared. Six healthy male students served as control group. A three-day period of blood glucose normalization in insulin-dependent diabetic can restore glucagon secretion to normal. Growth hormone secretion is decreased but not completely normalised. Cortisol secretion is slightly decreased. It is concluded that prolonged normoglycemia achieved by means of an artificial endocrine pancreas may completely control endocrine abnormalities in insulin-dependent diabetics.",,"Adult; Artificial Organs; Blood Glucose; Circadian Rhythm; Diabetes Mellitus, Type 1; Feedback; Glucagon; Growth Hormone; Humans; Hydrocortisone; Infusions, Parenteral; Insulin; Islets of Langerhans; Middle Aged",Journal Article,insulin-dependent diabetes (disease); glucagon (protein); growth hormone (protein); cortisol (protein); glucagon secretion (biological_process); growth hormone secretion (biological_process); cortisol secretion (biological_process); normoglycemia (biomarker); normoglycemia (clinical_outcome); endocrine abnormalities (clinical_outcome); subcutaneous insulin therapy (drug); artificial endocrine pancreas (Biostator-GCIIS) (drug); blood glucose normalization (biological_process),"(insulin-dependent diabetes, Positive_Correlation, endocrine abnormalities); (normoglycemia, Positive_Correlation, glucagon secretion); (normoglycemia, Negative_Correlation, growth hormone secretion); (normoglycemia, Negative_Correlation, cortisol secretion); (normoglycemia, Negative_Correlation, endocrine abnormalities); (artificial endocrine pancreas (Biostator-GCIIS), Comparison, subcutaneous insulin therapy); (artificial endocrine pancreas (Biostator-GCIIS), Association, blood glucose normalization); (blood glucose normalization, Association, glucagon secretion); (blood glucose normalization, Negative_Correlation, Growth hormone secretion); (blood glucose normalization, Negative_Correlation, Cortisol secretion); (normoglycemia, Negative_Correlation, insulin-dependent diabetics); (artificial endocrine pancreas (Biostator-GCIIS), Negative_Correlation, Growth hormone secretion); (artificial endocrine pancreas (Biostator-GCIIS), Negative_Correlation, Cortisol secretion)"
535578,https://pubmed.ncbi.nlm.nih.gov/535578/,1979,[The diabetic polyneuropathy. I. Relation between impaired function in peripheral nerves and clinical findings].,Endokrinologie,"789 patients with diabetes mellitus were studied by clinical and electroneurographical investigation. Motor and sensory conduction velocities of the median nerve and motor conduction velocity of the tibial nerve were determined. 86.1% of the patients suffered from juvenile diabetes, and 13.9% from maturity onset diabetes. Average duration of the disease was 9.5 years, average age of the patients was 26.7 years. Clinical signs of polyneuropathy were found in 19.1%. In 40.9% of the patients at least one of 3 conduction velocities was found to be delayed. Patients with clinical signs of polyneuropathy exhibited delayed nerve conduction velocities and delayed distal latencies. Diagnosis of polyneuropathy almost with certainty is possible by determining the three nerve conduction velocities and the three corresponding distal latencies. 22% of patients without clinical signs of polyneuropathy exhibited electroneurographical signs of impaired peripheral nerve function. Heredity, body weight, lipid metabolism, actual metabolic balance, and treatment were found to be without any significant influence on nerve conduction velocity.",,"Adult; Diabetes Mellitus; Diabetes Mellitus, Type 1; Diabetic Neuropathies; Humans; Median Nerve; Neural Conduction; Tibial Nerve; Time Factors",English Abstract; Journal Article,diabetes mellitus (disease); juvenile diabetes (disease); maturity onset diabetes (disease); polyneuropathy (disease); nerve conduction velocity (biomarker); nerve conduction velocities (clinical_outcome); distal latency (biomarker); distal latencies (clinical_outcome); impaired peripheral nerve function (clinical_outcome); lipid metabolism (biological_process); metabolic balance (biological_process); body weight (clinical_outcome),"(polyneuropathy, Negative_Correlation, nerve conduction velocity); (polyneuropathy, Positive_Correlation, distal latency); (diabetes mellitus, Positive_Correlation, polyneuropathy); (diabetes mellitus, Positive_Correlation, impaired peripheral nerve function); (diabetes mellitus, Negative_Correlation, nerve conduction velocity)"
676730,https://pubmed.ncbi.nlm.nih.gov/676730/,1978,"Growth, body weight and insulin requirement in diabetic children.",Acta paediatrica Scandinavica,"The weight and height development of 51 boys and 48 girls who had developed diabetes prior to the age of 15 years was followed for a minimum of 3 years, mean 8.3 years, up to the age of 18 for the girls and 20 for the boys. In addition, the insulin requirements were recorded. Weight and height proved to be within the normal range, and height at onset of diabetes was normal. After a long duration of diabetes, however, there occurred a reduction of height increment of obout 1/2cm/year. This reduction was greater in children who rarely attended as compared with those who frequently attended a sub-specialized clinic. The daily dose of insulin increased with age, the greatest increase coinciding with the growth spurt. During the first 4 years of diabetes the 24-hour dose/kg body weight increased, indicating a decreasing endogenous insulin production. Later it was constant at around 0.9 i.u./kg. Modern management of diabetic children leads to normal adult stature.",,"Adolescent; Body Height; Body Weight; Child; Child, Preschool; Diabetes Mellitus, Type 1; Female; Growth; Humans; Infant; Insulin; Male",Journal Article,diabetes (disease); insulin (protein); insulin (drug); endogenous insulin production (biological_process); height increment (biomarker); height increment (clinical_outcome); weight development (clinical_outcome); insulin requirements (clinical_outcome); daily dose of insulin (clinical_outcome); duration of diabetes (clinical_outcome); growth spurt (biological_process); adult stature (clinical_outcome),"(diabetes, Negative_Correlation, height increment); (diabetes, Negative_Correlation, endogenous insulin production); (growth spurt, Positive_Correlation, daily dose of insulin)"
1158036,https://pubmed.ncbi.nlm.nih.gov/1158036/,1975,Renal substrate exchange in human diabetes mellitus.,Diabetes,"Renal substrate exchange was examined in five male patients with insulin-dependent diabetes mellitus of several years' duration. Insulin was withheld for twenty-four hours prior to the study. A renal vein was catheterized from the femoral vein, and PHA-clearance was employed for the determination of effective renal blood flow. None of the patients was in ketoacidosis, but all were moderately hyperglycemic in the fasting states (16.8 +/- 1.5 mmol/L.) (225-384 mg./100 ml.). Nevertheless, no net release of glucose from the kidney was detectable. Instead, there was a significant net renal uptake of glucose (320 +/- 80 mumol/min.). In addition, there was a significant net uptake of glycerol and a net release of pyruvate. Renal amino acid exchange was similar to that reported for healthy subjects: glutamine, glycine, proline, and citrulline were taken up and serine, alanine, cystine, tyrosine, and threonine were released by the kidney. It is concluded that (a) in nonketoacidotic diabetics there is no net production of glucose by the kidney; (b) renal amino acid exchange in diabetics is similar to that of healthy individuals; and (c) the kidney is not an important gluconeogenic organ in human diabetes.",,"Adult; Amino Acids; Blood Glucose; Diabetes Mellitus; Fatty Acids, Nonesterified; Gluconeogenesis; Glycerol; Humans; Hyperglycemia; Ketone Bodies; Kidney; Lactates; Male; Pyruvates; Regional Blood Flow","Journal Article; Research Support, U.S. Gov't, P.H.S.",insulin-dependent diabetes mellitus (disease); ketoacidosis (disease); hyperglycemia (biomarker); glucose (chemical); glycerol (chemical); pyruvate (chemical); renal substrate exchange (biological_process); renal glucose production (biological_process); renal amino acid exchange (biological_process); gluconeogenesis (biological_process); Insulin (drug); glutamine (chemical); glycine (chemical); proline (chemical); citrulline (chemical); serine (chemical); alanine (chemical); cystine (chemical); tyrosine (chemical); threonine (chemical); kidney (cell_type),"(insulin-dependent diabetes mellitus, Positive_Correlation, hyperglycemia); (insulin-dependent diabetes mellitus, Negative_Correlation, renal glucose production); (insulin-dependent diabetes mellitus, Negative_Correlation, gluconeogenesis); (kidney, Association, glutamine); (kidney, Association, glycine); (kidney, Association, proline); (kidney, Association, citrulline); (kidney, Association, serine); (kidney, Association, alanine); (kidney, Association, cystine); (kidney, Association, tyrosine); (kidney, Association, threonine)"
1166797,https://pubmed.ncbi.nlm.nih.gov/1166797/,1975,Systemic allergic reaction to initial insulin therapy in a juvenile diabetic. Enhanced blast transformation to insulin.,Acta paediatrica Scandinavica,"A 14-year-old girl with recent onset of diabetes developed a severe systemic allergic reaction to beef-pork insulin on the third day of insulin therapy. The same reaction developed following the injection of pork insulin and monocomponent insulin. The patient was induced to tolerate pork insulin by systemic desensitization to this insulin over an interval of 6 days. Peripheral blood lymphocytes from the patient cultured in the presence of insulin responded by increased blast cell transformation, as compared with controls, who either had previously presented local allergic reactions to insulin or never had manifested insulin allergy.",,"Adolescent; Desensitization, Immunologic; Diabetes Mellitus, Type 1; Drug Hypersensitivity; Female; Humans; Insulin; Lymphocyte Activation; Lymphocytes",Case Reports; Journal Article,diabetes (disease); beef-pork insulin (protein); beef-pork insulin (drug); pork insulin (protein); pork insulin (drug); monocomponent insulin (protein); monocomponent insulin (drug); systemic allergic reaction (clinical_outcome); peripheral blood lymphocytes (cell_type); blast cell transformation (biological_process); insulin allergy (disease); insulin (drug); systemic desensitization (drug); local allergic reactions (clinical_outcome); insulin allergy (disease),"(beef-pork insulin, Positive_Correlation, systemic allergic reaction); (pork insulin, Positive_Correlation, systemic allergic reaction); (monocomponent insulin, Positive_Correlation, systemic allergic reaction); (insulin, Positive_Correlation, blast cell transformation); (systemic desensitization, Negative_Correlation, systemic allergic reaction)"
1595513,https://pubmed.ncbi.nlm.nih.gov/1595513/,1992,Intensive insulin therapy: Part II. Multicomponent insulin regimens.,American family physician,"In patients with insulin-dependent diabetes mellitus, insulin is an absolute requirement for life. Once-daily insulin administration is not sufficient to maintain physiologic insulin delivery. Twice-daily delivery of a combination of intermediate-acting and regular insulin may be effective but may limit lifestyle flexibility. Other popular regimens include three daily injections (with a bedtime dose of intermediate-acting insulin) and use of a combination of ultralente and regular insulin. Continuous subcutaneous insulin infusion is another option for patients with insulin-dependent diabetes. In patients with noninsulin-dependent diabetes who require insulin, control can often be achieved with a single daily injection. Recently, the use of bedtime NPH or ultralente insulin has been emphasized for control of moderate hyperglycemia in these patients. For patients with severe hyperglycemia, insulin administration is similar to that for patients with insulin-dependent diabetes. The use of combination therapy with insulin and sulfonylurea for noninsulin-dependent diabetes is controversial.",,"Blood Glucose; Clinical Protocols; Diabetes Mellitus; Drug Administration Schedule; Drug Therapy, Combination; Eating; Humans; Infusions, Parenteral; Injections, Subcutaneous; Insulin",Journal Article; Review,insulin-dependent diabetes mellitus (disease); noninsulin-dependent diabetes mellitus (disease); insulin (protein); insulin (drug); sulfonylurea (drug); hyperglycemia (biomarker); hyperglycemia (disease); continuous subcutaneous insulin infusion (biological_process); Continuous subcutaneous insulin infusion (drug); intermediate-acting insulin (drug); regular insulin (drug); ultralente insulin (drug); NPH (drug),"(bedtime insulin, Positive_Correlation, hyperglycemia control); (ultralente insulin, Negative_Correlation, hyperglycemia); (insulin, Association, insulin-dependent diabetes mellitus treatment); (insulin-sulfonylurea combination therapy, Association, noninsulin-dependent diabetes mellitus); (intermediate-acting insulin, Cotreatment, regular insulin); (ultralente insulin, Cotreatment, regular insulin); (insulin, Cotreatment, sulfonylurea); (NPH, Negative_Correlation, hyperglycemia)"
