pmid,year,title
4382,1975,Juvenile diabetes and human sperm quality.
37498,1979,"[Effect of alpha and beta receptor blockaders on the degree of glycemia, growth hormone content of blood and catecholamine excretion in insulin-dependent diabetes mellitus]."
45604,1978,Course of coxsackie B antibodies during juvenile diabetes.
47533,1975,Islet-cell antibodies in juvenile diabetes mellitus of recent onset.
48487,1975,HL-A system and diabetes mellitus.
59963,1976,Histocompatibility (HLA) antigens and diabetic microangiopathy.
70861,1977,HLA antigens in essential hypertension. Relation to familiar disposition and serum immunoglobulins.
76848,1978,Passive transfer of diabetes mellitus from man to mouse.
77059,1978,HLA-Dw2 as a marker of resistance against juvenile diabetes mellitus.
81509,1978,Islet-cell antibodies (ICA) in diabetes mellitus (evidence of an autoantigen common to all cells in the islet of Langerhans).
83020,1978,The association of HLA with juvenile diabetes mellitus in Newfoundland.
84475,1979,HLA antigens in localized granuloma annulare.
85167,1979,Islet implantation normalises hyperglycaemia caused by streptozotocin-induced insulitis. Experiments in mice.
85459,1979,Maternal serum alpha-fetoprotein and diabetes mellitus.
87677,1979,Genetic marker for insulin-dependent diabetes mellitus.
96415,1978,Hyperthyroidism in juvenile diabetes mellitus.
97197,1978,Pituitary responsiveness to thyrotropin releasing hormone in insulin-dependent diabetes mellitus.
106628,1979,The prognosis of insulin dependent diabetes mellitus and the importance of supervision.
113782,1979,HLA and insulin-dependent diabetes mellitus.
117544,1979,[Successful allotransplantation of an island of Langerhans].
118609,1979,Urinary acidic glycohydrolases as an index of kidney damage in juvenile diabetes mellitus.
123675,1975,[Insulitis and peracute diabetes mellitus (author's transl)].
126667,1975,"Simultaneous occurrence of diabetes, liver cirrhosis, and 47, XX,21 +/46, XX chromosomal pattern."
133329,1976,[HL-A antigens in insulin-dependent diabetes mellitus].
136874,1976,Immunogenetic aspects of allotransplantation.
137164,1976,[Incidence and manifestations of the heterozygosity of the gene causing diabetes].
148435,1978,Acne treated with a tropical tetracycline preparation: results of a one-year multi-group study.
154487,1977,[Hyperosmolar nonketotic diabetic coma in children].
159197,1979,[In vitro stimulation of peripheral blood lymphocytes with allogeneic lymphocytes or phytomitogens in patients with insulin-dependent diabetes mellitus (author's transl)].
159399,1979,"Down's syndrome, hypothyroidism and diabetes mellitus in an adult."
171948,1975,Atypical adrenal insufficiency with failure of the pituitary feedback receptor. A case with associated diabetes mellitus and selective IgA deficiency with steatorrhea.
178557,1976,Diabetes mellitus in the guinea pig.
188298,1976,Calcification of the perineurium. A case report.
212915,1978,"Coxsackie B4 viral infection, anti-islet immunity and immunogenetics in insulin-dependent diabetes mellitus."
223535,1979,"Growth failure, somatomedin and growth hormone levels in juvenile diabetes mellitus--a pilot study."
223962,1979,Does insulin dependent diabetes mellitus have a viral etiology?
232095,1979,Type 1 diabetes and Coxsackie virus infection.
263731,1978,Thyroid-stimulating antibodies in patients with autoimmune disorders.
263933,1977,Sudden and unexpected deaths after the acute onset of diabetes mellitus.
270276,1977,"Juvenile diabetes mellitus, optic atrophy, hearing loss, diabetes insipidus, atonia of the urinary tract and bladder, and other abnormalities (Wolfram syndrome). A review of 88 cases from the literature with personal observations on 3 new patients."
278151,1977,Arteriovenous fistulas for hemodialysis and the diabetic. A report on eighteen patients.
284714,1979,Incidence of insulin-dependent diabetes mellitus (0--29 years at onset) in Denmark.
291294,1979,Social adaptation in juvenile diabetes.
303374,1977,[HL-A D antigens from B-lymphocytes and susceptibility to certain diseases].
320353,1977,Renal transplantation in patients with insulin-dependent diabetes mellitus.
323585,1977,End-stage renal failure in juvenile diabetes mellitus: a 5-year follow-up of treatment.
326604,1977,C-peptide response to glucagon. A test for the residual beta-cell function in diabetes mellitus.
328102,1977,[Application of modern methods to clinical autopsy].
334498,1977,[Islet-cell antibodies in juvenile diabetes mellitus (author's transl)].
334525,1977,[Various disturbances in beta cell function in diabetes mellitus].
334617,1977,The effect of short-term glucagon infusion on kidney function in normal man.
344116,1978,"HLA, islet cell antibodies, and types of diabetes mellitus."
348539,1978,"Heterogeneity in diabetes mellitus--update, 1978. Evidence for further genetic heterogeneity within juvenile-onset insulin-dependent diabetes mellitus."
350677,1978,C-peptide secretion during the remission phase of juvenile diabetes.
353557,1978,Islet-cell-surface antibodies in juvenile diabetes mellitus.
354741,1978,Autoimmunity in juvenile diabetics and their families.
356517,1977,C-peptide in juvenile diabetes.
359394,1978,"Persistent insulin secretion, assessed by plasma C-peptide estimation in long-term juvenile diabetics with a low insulin requirement."
367641,1979,A simple method to detect linkage for rare recessive diseases: an application to juvenile diabetes.
371556,1979,100 HLA-identical sibling transplants. Prognostic factors other than histocompatibility.
373353,1978,Studies on the frequency and associations of islet-cell antibodies in juvenile diabetes mellitus.
378240,1979,Ia-Type alloantigens and humoral autoimmune responsiveness in insulin-dependent diabetes mellitus.
388619,1979,Spontaneous diabetes mellitus: reversal and prevention in the BB/W rat with antiserum to rat lymphocytes.
388999,1979,Diabetes mellitus challenges for the future.
393506,1979,"Antimicrosomal antibodies, gastric parietal cell antibodies and antinuclear factors in insulin dependent diabetes mellitus."
394735,1979,HLA patterns in Australian patients with insulin dependent diabetes mellitus (IDDM).
394957,1979,[Excretion of catecholamines in juvenile diabetes mellitus].
395039,1978,Calculation of disease susceptibility gene frequency in insulin-dependent diabetes mellitus.
395071,1979,The external artificial pancreas: an instrument to induce remissions in severe recent juvenile diabetes. Comparison with a preprogrammed insulin infusion system.
395728,1979,Juvenile diabetes mellitus in Ethiopians.
400127,1978,Jet injection of insulin during self-monitoring of blood glucose.
402787,1977,"C-peptide in juvenile diabetics beyond the postinitial remission period. Relation to clinical manifestations at onset of diabetes, remission and diabetic control."
406546,1977,[New thoughts on diabetes mellitus (author's transl)].
406547,1977,[Diabetic angiopathy. A new concept of pathogenesis (author's transl)].
406679,1977,Diabetes mellitus in adolescents: a comprehensive approach to outpatient care.
413751,1977,HLA antigens and insulin dependent diabetes mellitus. A family study.
425849,1979,Response to bicycle exercise testing in long-standing juvenile diabetes.
429493,1979,Immunoglobulin G-insulin antibodies and immune region-associated alloantigens in insulin-dependent diabetes mellitus.
437368,1979,Circulating glucagon antibodies in children who have insulin-dependent diabetes mellitus. Clinical significance and characterization.
440839,1979,"Age, sex, and season of onset of juvenile diabetes in different geographic areas."
441229,1979,Adjustment in diabetic adolescent Girls: I. Development of the Diabetic Adjustment Scale.
443998,1979,[Diet regimen and long-term prognosis in juvenile diabetes].
446910,1979,Is juvenile diabetes determined by a single gene closely linked to HLA?
446915,1979,HLA-D--related (DRw) antigens in juvenile diabetes mellitus.
450666,1979,[Glycosylated hemoglobin: résults of 550 cases (author's transl)].
459606,1979,[Viral etiology of insulin-dependent diabetes (author's transl)].
477613,1979,Thyroglobulin and microsomal antibodies in patients with insulin dependent diabetes mellitus and their relatives.
478438,1979,Studies of growth hormone secretion in juvenile diabetes.
495280,1979,The prognosis of insulin dependent diabetes mellitus and the importance of supervision.
510117,1979,Use of an artificial pancreas as a tool to determine subcutaneous insulin doses in juvenile diabetes.
510127,1979,Feasibility of improved blood glucose control in patients with insulin-dependent diabetes mellitus.
510129,1979,"A multidisciplinary, comprehensive, ambulatory treatment scheme for diabetes mellitus in children."
512051,1979,Serum immunoreactive trypsin concentrations in infectious and non-infectious illnesses and in juvenile diabetes.
520115,1979,Epidemiologic studies of insulin-dependent diabetes mellitus.
520125,1979,Studies of the HLA system and insulin-dependent diabetes mellitus.
520132,1979,"Standardization of definition, classification, and reporting in diabetes-related epidemiologic studies."
525207,1979,"Study of bladder function in patients with prediabetes, latent diabetes, recent onset diabetes and juvenile diabetes."
528182,1979,Juvenile diabetes mellitus.
532626,1979,HLA-antigens and some autoimmune features of juvenile diabetes mellitus.
535578,1979,[The diabetic polyneuropathy. I. Relation between impaired function in peripheral nerves and clinical findings].
539411,1979,Self-control with urinalysis in juvenile diabetes.
550672,1979,Family history in classical juvenile onset diabetes in relation to severity of the disease.
550702,1979,Inheritance of childhood diabetes.
554785,1978,Schmidt's syndrome in a child with diabetes mellitus.
554786,1978,"Policy statement on materials for testing glucose in the urine. The Committee on Materials and Therapeutic Agents, American Diabetes Association."
556367,1979,Plasma lipid levels in insulin-dependent diabetes mellitus.
561263,1977,[Simultaneous occurrence of juvenile diabetes and Addison's disease (author's transl)].
561836,1977,Clinical evaluation and preliminary studies on the use of an artificial pancreatic beta cell in juvenile diabetes mellitus.
562286,1977,The HLA system and the genetics of juvenile diabetes mellitus.
571710,1979,Internal ophthalmoplegia after argon laser panretinal photocoagulation.
572016,1979,Acute hemiparesis in juvenile insulin-dependent diabetes mellitus (JIDDM).
576189,1977,Isolated thyrotrophin deficiency in diabetes mellitus.
576375,1977,"A syndrome of immunoglobulin A deficiency, diabetes mellitus, malabsorption, a common HLA haplotype. Immunologic and genetic studies of forty-three family members."
577329,1977,C-peptide in diabetic children after stimulation with clucagon compared with fasting C-peptide levels in non-diabetic children.
577945,1977,Insulin-dependent diabetes mellitus. Sudden onset following hypophysectomy in an acromegalic patient.
580797,1978,Diabetes and Graves disease complicating pregnancy.
582031,1979,A negative association of HLA-BW52 with Graves' disease and insulin-dependent diabetes mellitus with juvenile onset among Japanese population.
582380,1979,Etiologic variability of nephropathy in juvenile diabetes mellitus.
588096,1977,Juvenile diabetes mellitus and optic atrophy.
588113,1977,Neurotrophic corneal ulcers in diabetes mellitus.
592730,1977,The guinea pig as an animal model of diabetes mellitus.
598563,1977,[The prevalence and incidence of juvenile onset insulin-dependent diabetes mellitus in France (author's transl)].
