pmid,mention,entity_type,tier,note
13958208,blood glucose,biomarker,Tier1_agree,
13958208,labile diabetes,disease,Tier1_agree,
13958208,metabolic problems,disease,Tier3_single_yuqi,
14139995,brittle diabetes,disease,Tier1_agree,
14139995,insulin,protein,Tier2_type_disagree_yuqi,
14139995,excessive insulin-sensitivity,biological_process,Tier2_type_disagree_yuefei,
14139995,plasma-protein transport,biological_process,Tier1_agree,
14139995,hepatic tissue metabolism of insulin,biological_process,Tier1_agree,
14139995,peripheral tissue metabolism of insulin,biological_process,Tier2_type_disagree_yuqi,
14139995,insulin,drug,Tier2_type_disagree_yuefei,
14139995,insulin-sensitivity,biomarker,Tier3_single_yuqi,
14139995,ketosis-proneness,clinical_outcome,Tier1_agree,
14139995,hyperlability,clinical_outcome,Tier3_single_yuqi,
14247704,Exudative lesions,disease,Tier1_agree,
14247704,capsular drops,disease,Tier1_agree,
14247704,diabetes,disease,Tier1_agree,
14247704,proteinuria,biomarker,Tier2_type_disagree_yuqi,
14247704,proteinuria,clinical_outcome,Tier2_type_disagree_yuefei,
14247704,hypertension,disease,Tier1_agree,
14247704,uraemia,disease,Tier1_agree,
14247704,duration of the diabetes,clinical_outcome,Tier3_single_yuefei,
17340801,diabetes in infancy,disease,Tier1_agree,
5355346,human growth hormone (HGH),protein,Tier1_agree,
5355346,HGH-(125)I,chemical,Tier3_single_yuqi,
5355346,acromegaly,disease,Tier1_agree,
5355346,hypothyroidism,disease,Tier1_agree,
5355346,hyperthyroidism,disease,Tier1_agree,
5355346,insulin-independent diabetes mellitus (IID),disease,Tier1_agree,
5355346,insulin-dependent diabetes mellitus (IDD),disease,Tier1_agree,
5355346,metabolic clearance rate of HGH,biomarker,Tier2_type_disagree_yuqi,
5355346,metabolic clearance rate (MCR),biological_process,Tier2_type_disagree_yuefei,
5355346,production rate of HGH,biomarker,Tier2_type_disagree_yuqi,
5355346,Production rates of HGH (PR),biological_process,Tier2_type_disagree_yuefei,
5355346,plasma growth hormone concentrations,biomarker,Tier3_single_yuefei,
5355346,diabetes mellitus,disease,Tier3_single_yuefei,
5811682,insulin-dependent diabetes,disease,Tier1_agree,
5811682,Coxsackie virus type B4,biomarker,Tier2_type_disagree_yuqi,
5811682,Coxsackie virus type B4,disease,Tier2_type_disagree_yuefei,
5811682,diabetes,disease,Tier3_single_yuefei,
5811682,virus infection,disease,Tier3_single_yuefei,
5431658,juvenile diabetes,disease,Tier1_agree,
5431658,serum growth hormone,protein,Tier2_type_disagree_yuqi,
5431658,serum growth hormone,biomarker,Tier2_type_disagree_yuefei,
5431658,fasting blood glucose,biomarker,Tier1_agree,
5431658,serum free fatty acid,biomarker,Tier1_agree,
5431658,serum insulin,protein,Tier2_type_disagree_yuqi,
5431658,serum insulin,biomarker,Tier2_type_disagree_yuefei,
5431658,diabetes,disease,Tier3_single_yuefei,
5431658,fasting serum growth hormone,biomarker,Tier3_single_yuefei,
5431658,fasting blood glucose level,biomarker,Tier3_single_yuefei,
5431658,exercise,biological_process,Tier3_single_yuefei,
4143592,small-vessel disease,disease,Tier1_agree,
4143592,juvenile diabetic microangiopathy,disease,Tier1_agree,
4143592,glucose,chemical,Tier1_agree,
4143592,insulin,protein,Tier1_agree,
4143592,insulin secretion,biological_process,Tier1_agree,
4143592,glucose intolerance,clinical_outcome,Tier2_type_disagree_yuqi,
4143592,glucose intolerance,disease,Tier2_type_disagree_yuefei,
4143592,Tolbutamide,drug,Tier1_agree,
4143592,juvenile diabetes mellitus,disease,Tier1_agree,
4143592,small-vessel lesions,disease,Tier1_agree,
4143592,circulating insulin levels,biomarker,Tier3_single_yuefei,
4143592,insulin output,biological_process,Tier3_single_yuefei,
5083884,glomerular filtration rate,biomarker,Tier2_type_disagree_yuqi,
5083884,glomerular filtration rate,clinical_outcome,Tier2_type_disagree_yuefei,
5083884,renal plasma flow,biomarker,Tier2_type_disagree_yuqi,
5083884,renal plasma flow,clinical_outcome,Tier2_type_disagree_yuefei,
5083884,diabetes mellitus,disease,Tier1_agree,
5083884,proteinuria,biomarker,Tier2_type_disagree_yuqi,
5083884,proteinuria,clinical_outcome,Tier2_type_disagree_yuefei,
5083884,kidney function,clinical_outcome,Tier1_agree,
5083884,long-term diabetics,disease,Tier3_single_yuefei,
4729184,diabetes mellitus,disease,Tier1_agree,
4729184,autoimmune hypothyroidism,disease,Tier1_agree,
4729184,insulin-dependent diabetes mellitus,disease,Tier1_agree,
4729184,insulin-independent diabetes mellitus,disease,Tier1_agree,
4729184,goitre,disease,Tier1_agree,
4729184,autoimmune disease,disease,Tier1_agree,
4729184,hypothyroidism,disease,Tier3_single_yuefei,
4282831,asthma,disease,Tier1_agree,
4282831,pulmonary chronic illness,disease,Tier1_agree,
