pmid,source,relation,target,tier,note
14247704,diabetes,Positive_Correlation,Exudative lesions,Tier1_agree,
14247704,diabetes,Positive_Correlation,capsular drops,Tier1_agree,
5355346,hypothyroidism,Negative_Correlation,metabolic clearance rate of HGH,Tier1_agree,
5431658,juvenile diabetes,Positive_Correlation,serum growth hormone,Tier1_agree,
4729184,insulin-dependent diabetes mellitus,Association,autoimmune hypothyroidism,Tier1_agree,
1166797,beef-pork insulin,Positive_Correlation,systemic allergic reaction,Tier1_agree,
1166797,pork insulin,Positive_Correlation,systemic allergic reaction,Tier1_agree,
1166797,monocomponent insulin,Positive_Correlation,systemic allergic reaction,Tier1_agree,
1166797,insulin,Positive_Correlation,blast cell transformation,Tier1_agree,
54584,diabetic ketoacidosis,Association,acute abdomen,Tier1_agree,
334498,Islet-cell antibodies,Association,juvenile diabetes mellitus,Tier1_agree,
334498,Islet-cell antibodies,Bind,endocrine-islet cells,Tier1_agree,
334498,juvenile diabetes mellitus,Association,auto-immune pathogenesis,Tier1_agree,
353557,islet-cell-surface antibodies,Association,juvenile diabetes,Tier1_agree,
353557,islet-cell-surface antibodies,Bind,islet cells,Tier1_agree,
353557,islet-cell-surface antibodies,Association,glucose intolerance,Tier1_agree,
353557,islet-cell-surface antibodies,Association,thyroid disorders,Tier1_agree,
676730,diabetes,Negative_Correlation,height increment,Tier1_agree,
676730,diabetes,Negative_Correlation,endogenous insulin production,Tier1_agree,
535578,polyneuropathy,Negative_Correlation,nerve conduction velocity,Tier1_agree,
535578,polyneuropathy,Positive_Correlation,distal latency,Tier1_agree,
7418963,HLA B8,Positive_Correlation,juvenile-onset insulin-dependent diabetes,Tier1_agree,
7418963,HLA B14,Positive_Correlation,juvenile-onset insulin-dependent diabetes,Tier1_agree,
6751735,hemoglobin A1c,Negative_Correlation,symptomatic hypoglycemia,Tier1_agree,
6357915,Type 1 diabetes,Negative_Correlation,glucose utilization,Tier1_agree,
6357915,glucose,Positive_Correlation,glucose utilization,Tier1_agree,
6205922,hypoglycemia,Positive_Correlation,beta-thromboglobulin,Tier1_agree,
6205922,hypoglycemia,Positive_Correlation,cortisol,Tier1_agree,
6205922,hypoglycemia,Positive_Correlation,growth hormone,Tier1_agree,
6205922,hypoglycemia,Positive_Correlation,platelet activation,Tier1_agree,
4060795,thrombophilia,Association,atherogenesis,Tier1_agree,
3945267,nonenzymatically glycosylated proteins,Conversion,cross-linked protein adducts,Tier1_agree,
3945267,Type I diabetes,Positive_Correlation,collagen-linked fluorescence,Tier1_agree,
3945267,collagen-linked fluorescence,Positive_Correlation,retinopathy,Tier1_agree,
3945267,collagen-linked fluorescence,Positive_Correlation,nephropathy,Tier1_agree,
3945267,collagen-linked fluorescence,Positive_Correlation,arterial stiffness,Tier1_agree,
3945267,collagen-linked fluorescence,Positive_Correlation,joint stiffness,Tier1_agree,
3945267,collagen-linked fluorescence,Positive_Correlation,diabetic complications,Tier1_agree,
3945267,collagen-linked fluorescence,Positive_Correlation,systolic blood pressure,Tier1_agree,
3945267,collagen-linked fluorescence,Positive_Correlation,diastolic blood pressure,Tier1_agree,
3272815,HLA-DR1,Positive_Correlation,insulin antibody,Tier1_agree,
3272815,HLA-DR3,Negative_Correlation,insulin antibody,Tier1_agree,
3272815,HLA-DR1,Association,humoral immune response,Tier1_agree,
3272815,HLA-DR3,Association,humoral immune response,Tier1_agree,
3272815,exogenous insulin,Association,humoral immune response,Tier1_agree,
2688138,intensified insulin therapy,Positive_Correlation,metabolic control,Tier1_agree,
2688138,intensified insulin therapy,Negative_Correlation,haemoglobin A1c,Tier1_agree,
2789462,insulin autoantibodies,Association,type I diabetes mellitus,Tier1_agree,
2789462,HLA-DR3,Positive_Correlation,type I diabetes mellitus,Tier1_agree,
2789462,HLA-DR4,Positive_Correlation,type I diabetes mellitus,Tier1_agree,
2203875,mixed meal,Positive_Correlation,insulinaemic response,Tier1_agree,
1788205,insulin-dependent diabetes mellitus,Association,stable perfusion defects,Tier1_agree,
1604625,pancreaticoduodeno-renal transplantation,Association,graft pancreatitis,Tier1_agree,
8012161,alcoholism,Association,alcoholic nerve damage,Tier1_agree,
8731565,oleic acid-rich diet,Positive_Correlation,LDL oleic acid content,Tier1_agree,
8731565,oleic acid-rich diet,Negative_Correlation,fasting blood glucose,Tier1_agree,
8731565,fasting blood glucose,Negative_Correlation,LDL oleic acid level,Tier1_agree,
9300243,diabetic polyneuropathy,Negative_Correlation,muscle strength,Tier1_agree,
9533990,tighter glycemic control,Negative_Correlation,long-term diabetic complications,Tier1_agree,
10905497,nitric oxide synthesis,Negative_Correlation,free radical activity,Tier1_agree,
12401723,diabetic autonomic neuropathy,Positive_Correlation,cardiovascular mortality,Tier1_agree,
12401723,diabetic autonomic neuropathy,Negative_Correlation,myocardial perfusion reserve capacity,Tier1_agree,
12401723,Dipyridamole,Positive_Correlation,vasodilatation,Tier1_agree,
16005542,C-peptide,Positive_Correlation,parasympathetic nerve activity,Tier1_agree,
16005542,C-peptide,Positive_Correlation,gastric acid secretion,Tier1_agree,
17060846,diabetes mellitus,Positive_Correlation,end-stage renal disease,Tier1_agree,
17060846,diabetes mellitus,Association,blindness,Tier1_agree,
17060846,diabetes mellitus,Association,atherosclerosis,Tier1_agree,
17060846,diabetes mellitus,Association,dyslipidemia,Tier1_agree,
17060846,diabetes mellitus,Association,cardio-cerebrovascular disease,Tier1_agree,
17060846,diabetes mellitus,Association,amputation,Tier1_agree,
17060846,hyperglycemia,Positive_Correlation,diabetic complications,Tier1_agree,
17060846,hypertension,Positive_Correlation,diabetic complications,Tier1_agree,
17121768,diabetes,Positive_Correlation,chronic liver disease,Tier1_agree,
