pmid,pubmed_url,year,title,abstract,journal,keywords,mesh_terms,publication_types
13958208,https://pubmed.ncbi.nlm.nih.gov/13958208/,1963,Physiologic monitoring of blood glucose.,"The technique of continuous chemical analysis in vivo gives promise of real value in medicine. Applied to physiologic monitoring of blood glucose, it provides an invaluable tool for the study of labile diabetes and metabolic problems. Its use during surgical procedures and in post-operative management of such patients and in teaching is to be encouraged.",California medicine,BLOOD SUGAR,"Appointments and Schedules; Blood Glucose; Blood Glucose Self-Monitoring; Diabetes Mellitus, Type 1; Disease Management; Humans; Medicine; Monitoring, Physiologic; Postoperative Period",Journal Article
14139995,https://pubmed.ncbi.nlm.nih.gov/14139995/,1964,"OBSERVATIONS ON THE ETIOLOGY AND THERAPY OF ""BRITTLE"" DIABETES.","Salient aspects of prolonged metabolic studies on seven excessively labile diabetic patients and a review of the literature concerning causation and therapy of brittle diabetes are presented. Brittleness is redefined as ""a syndrome of excessive insulin-sensitivity and ketosis-proneness manifested by extreme and unexplainable short-term and long-term fluctuations in the parameters of the disease"". Evidence on the causation of hyperlability points to dysfunction of plasma-protein transport and of hepatic and peripheral tissue metabolism of insulin. No objectively demonstrable complete and lasting stabilization was possible by means of any antidiabetic or adjunctive therapeutic measures. However, achievement of quantitative improvement in the accuracy of regulation of diabetes and moderation in deviations from the acceptable range of parameters were feasible. To this end, therapy recommended for everyday use incorporates the following principles found to be most helpful in following the oscillations of the disease on the research ward: flexibility in the plan of therapy; accuracy, especially in timing of therapeutic events; and employment of an insulin program best suited to the patient's needs and comfort.",Canadian Medical Association journal,"ACIDOSIS, DIABETIC; ANTIDIABETICS; BLOOD PROTEINS; DIABETES MELLITUS; INSULIN; PREGNANCY; PREGNANCY IN DIABETES","Acidosis; Blood Proteins; Diabetes Mellitus; Diabetes Mellitus, Type 1; Diabetic Ketoacidosis; Female; Humans; Hypoglycemic Agents; Insulin; Pregnancy; Pregnancy in Diabetics",Journal Article
14247704,https://pubmed.ncbi.nlm.nih.gov/14247704/,1965,EXUDATIVE LESIONS IN DIABETES MELLITUS.,"Exudative lesions and capsular drops have been examined in a renal biopsy series of 25 diabetics and a post-mortem series of 100 consecutive diabetics. Electron microscopy of a capsular drop and an exudative lesion is described. Exudative lesions were found in 48% of the biopsies and 47% of the necropsy material. Capsular drops were found in 60% of the biopsies and 29% of the necropsy material. No correlation with age, proteinuria, hypertension, or uraemia was noted. The incidence of both types of lesion increased with the known duration of the diabetes.",Journal of clinical pathology,"ADOLESCENCE; BIOPSY; CHILD; DIABETES MELLITUS; DIABETES MELLITUS, JUVENILE; DIABETIC NEPHROPATHIES; EXUDATES AND TRANSUDATES; GERIATRICS; KIDNEY GLOMERULUS; MICROSCOPY, ELECTRON; PATHOLOGY; STAINS AND STAINING; UREMIA","Adolescent; Biopsy; Child; Coloring Agents; Diabetes Mellitus; Diabetes Mellitus, Type 1; Diabetic Nephropathies; Electrons; Exudates and Transudates; Geriatrics; Humans; Hypertension; Kidney Glomerulus; Microscopy; Microscopy, Electron; Pathology; Staining and Labeling; Uremia",Journal Article
17340801,https://pubmed.ncbi.nlm.nih.gov/17340801/,1968,[Medical and social problems raised by infantile diabetes].,"Recent clinical and statistical data are referred to in an account of the medical and social problems raised by diabetes in infancy and attention is placed on modern methods employed in the management of this disease. An examination is also undertaken of problems facing young patients with respect to their family, scholastic and later professional life.",Archivio per le scienze mediche,,"Child; Child, Preschool; Diabetes Mellitus, Type 1; Diet, Diabetic; Humans; Hypoglycemic Agents; Incidence; Insulin; Italy; Risk Factors; Social Adjustment; Survival Analysis",English Abstract; Journal Article; Review
5355346,https://pubmed.ncbi.nlm.nih.gov/5355346/,1969,Metabolic clearance and production rates of human growth hormone.,"The metabolic clearance rate (MCR) of human growth hormone (HGH) was determined by the constant infusion to equilibrium technique utilizing HGH-(125)I. 22 control subjects had a MCR of 229 +/-52 ml/min (mean +/-SD). No difference was evident between sexes, or between various age groups. Patients with acromegaly demonstrated normal MCR's. Moreover, acute elevations of plasma growth hormone concentrations in normal subjects did not alter the MCR of HGH. The MCR was relatively constant from day to day and within the day when subjects were evaluated in the supine position. In contrast, the assumption of the upright position was associated with a mean 24% decrease in the MCR. These results were contrasted with the MCR of HGH observed in a small number of patients with altered thyroid function or diabetes mellitus. In six patients with hypothyroidism the MCR (131 +/-36 ml/min) was significantly decreased (P < 0.001); whereas the MCR in eight patients with hyperthyroidism (240 +/-57 ml/min) did not differ from control subjects. The MCR in eight patients with insulin-independent diabetes mellitus (IID) (185 +/-41 ml/min) and in eight patients with insulin-dependent diabetes mellitus (IDD) (136 +/-31 ml/min) were significantly different from control subjects (P = < 0.05 and P = < 0.001, respectively). These data were interpreted to indicate that the plasma HGH-removing mechanism(s) is not saturated at physiologic plasma HGH levels, that plasma HGH levels alone may not permit distinction between variations in pituitary release of the hormone and its rate of clearance from the plasma, and that the estimation of the MCR of HGH may help clarify the mechanism of abnormal plasma HGH responses to various stimuli. Production rates of HGH (PR) in control subjects (347 +/-173 mmug/min) were contrasted with hyperthyroid patients (529 +/-242 mmug/min, P < 0.05), hypothyroid patients (160 +/-69 mmug/min, P < 0.02), IID (245 +/-100 mmug/min, NS), and IDD (363 +/-153 mmug/min, NS). Considerable variability in the determination of the concentrations of immunoprecipitable HGH-(125)I and endogenous plasma HGH concentrations was encountered at apparent equilibrium conditions. Since both factors are necessary for the PR calculations, the wide 95% confidence limits of the PR's did not permit a clear interpretation of the significance of these observations.",The Journal of clinical investigation,,Acromegaly; Adult; Aged; Diabetes Mellitus; Female; Growth Hormone; Humans; Hyperthyroidism; Hypothyroidism; Immunoassay; Iodine Isotopes; Male; Metabolic Clearance Rate; Middle Aged; Pituitary Gland,Journal Article
5811682,https://pubmed.ncbi.nlm.nih.gov/5811682/,1969,Seasonal incidence of diabetes mellitus.,"A seasonal incidence in the onset of insulin-dependent diabetes in patients under 30 years of age has been suggested from the analysis of data derived from the clinic registers of two diabetic clinics. The increased incidence occurred in summer, autumn, and winter, with a peak in the autumn. A significant variation in annual totals of new cases of diabetes seen could not be demonstrated or excluded, but the pattern of the variation present showed significant positive correlation with the annual prevalence data for Coxsackie virus type B4, but not for other types of virus infection.",British medical journal,,"Adolescent; Adult; Age Factors; Aged; Analysis of Variance; Child; Child, Preschool; Coxsackievirus Infections; Diabetes Mellitus; Diabetes Mellitus, Type 1; Humans; Infant; Infant, Newborn; Insulin; London; Middle Aged; Seasons",Journal Article
5431658,https://pubmed.ncbi.nlm.nih.gov/5431658/,1970,Abnormal serum growth hormone response to exercise in juvenile diabetics.,"Groups of male nonobese juvenile diabetics with recent onset, short term (1-8 yr), and long-term (12-30 yr) diabetes as well as comparable nondiabetic controls were studied during exercise experiments. The chosen exercise load, 450 kg/min for 20 min never induced changes in serum growth hormone in our nondiabetic control subjects. THE PRINCIPAL RESULTS OF THE STUDY WERE AS FOLLOWS: (a) an immediate high rise in serum growth hormone followed the commencement of exercise in all diabetics. The increase and pattern of serum growth hormone was not related to the duration of the diabetes. (b) The abnormal growth hormone response to exercise in diabetics was observed when the patients were in poor control as well as when they were in clinically excellent control (fasting blood glucose level between 100 and 140 mg/100 ml). (c) However, the abnormal serum growth hormone response was significantly diminished when exceedingly strict control was achieved (fasting blood glucose level between 60 and 100 mg/100 ml). In two of these experiments an entirely normal growth hormone pattern was obtained. (d) The change in serum growth hormone pattern during regulation was totally unrelated to the changes in serum free fatty acid patterns. A normal free fatty acid level and exercise pattern was obtained much earlier during the improved control. (e) Fasting serum growth hormone levels were also significantly raised in the juvenile diabetics irrespective of the diabetes duration. (f) Fasting serum growth hormone levels were also significantly decreased during regulation. Furthermore, a significant correlation between blood glucose and fasting serum growth hormone concentration was established. (g) In the juvenile diabetics a significant increase in serum insulin was observed at the point of time when exercise was concluded.",The Journal of clinical investigation,,"Adolescent; Adult; Blood Glucose; Body Height; Body Weight; Diabetes Mellitus, Type 1; Fatty Acids, Nonesterified; Glucose Tolerance Test; Growth Hormone; Humans; Insulin; Lactates; Male; Oxygen Consumption; Physical Exertion; Radioimmunoassay; Vascular Diseases",Journal Article
4143592,https://pubmed.ncbi.nlm.nih.gov/4143592/,1971,Abnormal insulin response in patients with small-vessel disease.,"The insulin response to a glucose load has been investigated in twenty-five patients with small-vessel disease (ischaemic lesions of toes or feet in the presence of foot pulses). The clinical presentation was similar to that of juvenile diabetic microangiopathy, but in small-vessel disease there was no glucose intolerance. Unexpectedly in the patients with small-vessel disease there was no striking insulin secretion response to the stimulus of a glucose load. Controls increased their circulating insulin levels on average sixfold over fasting levels after 50 g. oral glucose: all the small-vessel-disease patients had increases of less than three times their fasting levels, and nine of them had completely flat curves throughout the test. Tolbutamide also did not stimulate insulin secretion. The refractory state of these patients' responses to the normal stimulus of insulin output has similarities to the picture in juvenile diabetes mellitus and may be important in the aetiology of the small-vessel lesions.","Lancet (London, England)",,"Diabetic Angiopathies; Diagnosis, Differential; Female; Foot; Glucose Tolerance Test; Humans; Insulin; Insulin Secretion; Ischemia; Male; Middle Aged; Time Factors; Toes; Tolbutamide","Journal Article; Research Support, Non-U.S. Gov't"
5083884,https://pubmed.ncbi.nlm.nih.gov/5083884/,1972,Glomerular filtration rate and renal plasma flow in long-term juvenile diabetics without proteinuria.,"Glomerular filtration rate and renal plasma flow were examined in 16 young male non-proteinuric diabetics (mean age 28.4 years) with a duration of diabetes of over 15 years (mean duration 21.5 years.) In this selected group of long-term diabetics the glomerular filtration rate was clearly increased, the mean being 136 ml/min (+/-S.D. 11.8) (normal value 114 ml/min (+/-14.1), being comparable to that found earlier in short-term diabetics. There was no change in renal plasma flow. It is concluded that kidney function is generally well preserved in long-term diabetics who have not developed proteinuria.",British medical journal,,"Adult; Blood Glucose; Chronic Disease; Diabetes Mellitus, Type 1; Glomerular Filtration Rate; Humans; Iodine Radioisotopes; Iodohippuric Acid; Iothalamic Acid; Kidney; Male; Proteinuria; Regional Blood Flow",Journal Article
4729184,https://pubmed.ncbi.nlm.nih.gov/4729184/,1973,Monozygous twins with hypothyroidism and diabetes mellitus.,"Monozygous twins with diabetes mellitus and autoimmune hypothyroidism are described. The onset of the hypothyroidism was simultaneous, but one twin had had insulin-dependent diabetes mellitus for 9 years while the other twin developed insulin-independent diabetes concurrently with the hypothyroidism. Two other siblings had diabetes mellitus and one of them had a goitre, possibly lymphadenoid. The aetiology of autoimmune hypothyroidism is discussed, and evidence is presented which supports suggestions that diabetes mellitus may be an autoimmune disease.",Postgraduate medical journal,,Autoimmune Diseases; Diabetes Mellitus; Diseases in Twins; Female; Humans; Hypothyroidism; Middle Aged,Journal Article
