year,paper_count
1928,1
1929,2
1935,1
1945,1
1946,2
1947,3
1948,6
1949,7
1950,5
1951,14
1952,8
1953,7
1954,1
1955,14
1956,18
1957,8
1958,10
1959,4
1960,12
1961,7
1962,31
1963,109
1964,150
1965,113
1966,114
1967,164
1968,184
1969,181
1970,186
1971,218
1972,204
1973,232
1974,231
1975,245
1976,318
1977,347
1978,389
1979,431
1980,423
1981,436
1982,594
1983,839
1984,1333
1985,1333
1986,1445
1987,1567
1988,1712
1989,1837
1990,1984
1991,2029
1992,2183
1993,2239
1994,2394
1995,2296
1996,2448
1997,2692
1998,2473
1999,2319
2000,2197
2001,2217
2002,2326
2003,2212
2004,2395
2005,2464
2006,2429
2007,2392
2008,2637
2009,2658
2010,2811
2011,2813
2012,3160
2013,3362
2014,3208
2015,3490
2016,3486
2017,3447
2018,3665
2019,3748
2020,4079
2021,4549
2022,4458
2023,4240
2024,4314
2025,4817
2026,3050
